elapsed_sec,raw_x,raw_y,raw_z
10.601,5004,-1692,14428
10.618,5148,-3736,13904
10.655,4896,-5328,13624
10.665,5100,-4564,14444
10.676,5696,-3944,14264
10.686,5608,-2896,14468
10.697,5696,-2040,14884
10.712,5628,-1972,15796
10.727,6452,-2176,15324
10.742,5708,-2448,15372
10.757,6276,-1908,15768
10.774,5788,-1360,15300
10.814,5624,-1688,14864
10.825,5492,-1636,14620
10.835,5400,-2188,14324
10.846,5324,-1976,14632
10.856,5332,-1588,15132
10.868,5776,-1336,15192
10.884,5764,-1336,15220
10.9,5844,-1160,15196
10.916,5528,-924,14948
10.93,5264,-1440,14740
10.961,5108,-2236,14708
10.972,5484,-2268,15112
10.982,5852,-1948,15880
10.994,6356,-236,16456
11.011,6220,1876,15952
11.023,5124,-232,14776
11.04,4768,-3204,13952
11.055,4452,-5004,12956
11.071,4496,-5396,13516
11.087,4912,-3904,13660
11.12,5036,-2476,14108
11.13,5352,-1304,14892
11.142,5540,-1244,15224
11.152,5808,-1672,15396
11.166,6016,-2128,15576
11.183,5844,-2260,15368
11.198,5668,-2024,15076
11.212,5700,-2184,15068
11.227,5828,-2060,15488
11.244,6132,-1804,15640
11.273,5892,-1616,15308
11.284,5396,-1812,14808
11.295,5088,-2340,14356
11.305,4352,-2780,14636
11.322,5724,-2928,14276
11.338,5880,-892,15932
11.354,6424,-92,16828
11.371,5976,1288,16332
11.387,5540,580,15188
11.4,4932,-1720,13748
11.427,4544,-4324,12692
11.438,4296,-6004,12560
11.449,4192,-6152,12816
11.465,4616,-3828,13832
11.481,4588,-844,14968
11.498,6720,1784,17036
11.511,6260,3280,17192
11.526,6248,812,14788
11.542,5912,-788,14736
11.559,4952,-3496,13816
11.587,5088,-4116,14128
11.597,5136,-3032,14568
11.608,5732,-1448,15368
11.621,6376,-588,15928
11.637,6160,176,14740
11.654,6064,-280,15324
11.669,6640,-1000,15576
11.685,5696,-744,15156
11.698,5560,-956,15000
11.715,5576,-860,14684
11.745,5464,-1244,14604
11.756,5428,-1796,14316
11.768,5540,-1840,14424
11.781,5624,-1368,14524
11.793,5580,-332,14468
11.809,6848,1472,14456
11.826,6016,2496,14788
11.842,6076,2028,15772
11.858,6248,1096,15732
11.875,5544,596,14712
11.902,4788,-880,13564
11.912,4716,-2916,13196
11.923,4792,-2940,13932
11.938,5012,-2272,14388
11.952,5632,-1384,15284
11.968,5608,-408,14988
11.985,5760,-288,14832
11.998,6044,-792,14664
12.014,6048,-1128,14852
12.03,5868,-1776,15232
12.058,6264,-1604,15912
12.069,6632,-1200,16128
12.08,6208,-264,16368
12.092,6464,28,15876
12.108,5952,-268,15684
12.125,6116,-552,15756
12.14,5812,-568,15616
12.157,5304,-1392,14708
12.173,5320,-1812,14544
12.186,5532,-928,15144
12.216,5288,-564,14900
12.227,5224,-732,14824
12.238,5220,-716,14720
12.252,5312,-1112,14736
12.268,5492,-1208,14976
12.28,5528,-1024,14948
12.296,5452,-1008,15104
12.313,5552,-1068,15168
12.33,5556,-1068,15048
12.346,5584,-1132,14988
12.377,5684,-1076,15148
12.388,5684,-1044,15248
12.399,5424,-980,15600
12.411,5708,-1044,15064
12.424,5756,-1260,14708
12.439,5536,-1308,14628
12.455,5976,-1000,15016
12.469,5660,-996,14868
12.485,5388,-692,14812
12.501,5428,-752,14716
12.532,5464,-896,14940
12.544,5416,-832,14996
12.555,5396,-1436,14812
12.567,4812,-788,15348
12.58,5688,-940,14628
12.596,5204,136,15048
12.612,5380,-616,15080
12.629,5196,-1052,14864
12.645,5484,-1432,15200
12.657,5416,-988,15412
12.684,5196,-940,14984
12.695,5428,-868,15212
12.706,5652,-916,15392
12.722,5512,-1064,15044
12.739,5408,-884,15112
12.751,5468,-980,14952
12.769,5580,-860,15032
12.785,5572,-1124,15316
12.8,5680,-1164,15300
12.817,5700,-1148,15228
12.847,5500,-876,14928
12.858,5412,-856,15064
12.869,5452,-740,15300
12.879,5468,-892,15200
12.895,5868,-976,15040
12.911,5036,-1328,15556
12.928,6200,-1456,14836
12.942,5384,-1136,15268
12.957,5580,-1264,15092
12.973,5580,-1380,15204
12.998,5828,-1688,15004
13.009,5752,-1288,14956
13.021,5656,-1236,14700
13.035,5736,-776,14924
13.051,5880,-1192,14352
13.067,5736,-1116,14784
13.084,5572,-1088,15032
13.1,5224,-1352,15308
13.116,5712,-1404,14688
13.132,5020,-920,15220
13.171,5800,-1400,14812
13.181,4988,-1356,14876
13.193,5596,-1328,15012
13.204,5380,-1048,15216
13.214,5344,-1136,15016
13.227,5576,-1156,15124
13.24,5448,-1148,15056
13.255,5424,-1256,15096
13.273,5412,-1156,15208
13.289,5300,-1232,15192
13.328,5320,-1208,14996
13.34,5516,-1028,15136
13.35,5400,-1072,15188
13.363,5360,-1028,15100
13.373,5284,-1288,15016
13.384,5112,-1464,14752
13.399,5108,-1292,14836
13.415,5244,-1136,14832
13.427,5544,-1208,15056
13.444,5460,-1268,15040
13.486,5368,-1392,14944
13.497,5320,-1488,15120
13.507,5220,-1356,14976
13.519,5008,-1072,15052
13.531,5756,-948,15256
13.541,5456,-1396,14948
13.554,5180,-1272,14652
13.571,5680,-1596,14888
13.588,5348,-1412,14828
13.603,5412,-1316,14800
13.645,5648,-1124,15056
13.655,5444,-1260,15072
13.666,5900,-2080,14204
13.677,4844,-1520,15532
13.688,5968,-1428,14780
13.699,5000,-804,15180
13.711,5680,-1456,14948
13.728,4852,-448,15572
13.742,5504,-960,15504
13.76,5060,-1196,15084
13.802,5584,-1588,15180
13.812,5308,-1212,15236
13.824,5372,-1432,15196
13.836,5228,-1504,14936
13.847,5224,-1232,14984
13.858,5252,-1244,14904
13.871,5296,-1164,15100
13.887,5244,-1040,15084
13.902,5464,-1184,15212
13.915,5432,-1184,15228
13.955,5360,-1172,15076
13.966,5216,-1208,14940
13.98,5368,-1248,15052
13.99,5352,-1332,15024
14.001,4820,-1836,14476
14.012,4720,-2024,13908
14.025,4520,-2976,14120
14.041,4532,-3892,14440
14.057,4564,-3948,15444
14.074,5504,-3108,16100
14.102,5444,-2108,15560
14.112,5088,-2180,15004
14.123,4388,-2832,13968
14.136,4188,-3516,14100
14.152,4536,-4952,15200
14.168,5604,-4468,14264
14.184,5388,-3420,15380
14.197,5000,-2020,16096
14.213,6156,-456,15196
14.229,5580,-2184,15220
14.26,5180,-3316,15920
14.27,5592,-3464,15712
14.281,5400,-2568,15196
14.291,5548,-2024,14768
14.307,5096,-2264,14212
14.323,5088,-2540,14412
14.34,5344,-2432,15088
14.356,5984,-2352,17068
14.372,5884,-1476,16816
14.386,4396,-320,14388
14.416,4452,-1396,12792
14.426,3684,-3108,12960
14.437,3828,-4180,14276
14.451,4752,-4768,14264
14.466,6372,-3236,14084
14.481,5432,-1972,16340
14.497,4016,-2384,15364
14.513,5816,3136,12860
14.529,4672,420,14428
14.545,5204,-1340,14800
14.575,4084,-1632,15496
14.586,5236,-2512,14700
14.597,5188,-1900,15304
14.607,4904,-492,15248
14.623,5108,24,14092
14.64,4376,-2824,14608
14.656,4652,-3896,14572
14.668,5116,-4892,14684
14.684,5572,-4492,14816
14.7,5432,-2960,15424
14.729,5592,-1788,15776
14.739,5428,-1820,15600
14.75,5380,-2152,15084
14.766,5252,-2704,15348
14.779,4556,-1604,15320
14.795,5448,-1804,15420
14.811,7192,-1520,14632
14.828,4276,-1280,14776
14.844,5300,2128,14900
14.857,3660,2608,11608
14.887,3988,1744,12244
14.897,4852,-3760,15036
14.907,1700,-4328,15764
14.922,5192,-4488,12244
14.938,6984,-3764,13276
14.953,4676,-2032,17380
14.967,5148,-896,16712
14.984,6064,1896,16360
14.999,5920,-164,15280
15.017,5688,320,14220
15.052,5716,-1064,14924
15.062,4216,-2828,15088
15.072,4712,-2976,14832
15.083,5052,-2052,15644
15.094,5580,-1824,15392
15.11,5284,-1896,14712
15.127,4640,-2452,14236
15.143,4548,-4068,14644
15.155,5392,-4516,13632
15.172,5720,-2972,15964
15.208,5828,-1092,16976
15.22,5540,-152,15432
15.23,4092,-120,13732
